System Time: 2025-03-05 04:12:57 | | INITIAL | | Machine 2 initialized with clock speed 1 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:12:57 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:12:58 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 1
System Time: 2025-03-05 04:12:59 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 2
System Time: 2025-03-05 04:13:00 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 3
System Time: 2025-03-05 04:13:01 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 4
System Time: 2025-03-05 04:13:01 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 4
System Time: 2025-03-05 04:13:02 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 5
System Time: 2025-03-05 04:13:03 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 6
System Time: 2025-03-05 04:13:04 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 7
System Time: 2025-03-05 04:13:05 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 9
System Time: 2025-03-05 04:13:06 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 10
System Time: 2025-03-05 04:13:07 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 10
System Time: 2025-03-05 04:13:08 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 11
System Time: 2025-03-05 04:13:09 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 12
System Time: 2025-03-05 04:13:10 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 13
System Time: 2025-03-05 04:13:10 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 13
System Time: 2025-03-05 04:13:11 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 15
System Time: 2025-03-05 04:13:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 15
System Time: 2025-03-05 04:13:13 | | RECEIVE  | | Receive machine 0 | | Queue Size: 1 | | Logical Clock: 17
System Time: 2025-03-05 04:13:14 | | RECEIVE  | | Receive machine 1 | | Queue Size: 1 | | Logical Clock: 18
System Time: 2025-03-05 04:13:15 | | RECEIVE  | | Receive machine 0 | | Queue Size: 2 | | Logical Clock: 19
System Time: 2025-03-05 04:13:16 | | RECEIVE  | | Receive machine 1 | | Queue Size: 2 | | Logical Clock: 20
System Time: 2025-03-05 04:13:17 | | RECEIVE  | | Receive machine 0 | | Queue Size: 1 | | Logical Clock: 21
System Time: 2025-03-05 04:13:18 | | RECEIVE  | | Receive machine 0 | | Queue Size: 2 | | Logical Clock: 22
System Time: 2025-03-05 04:13:19 | | RECEIVE  | | Receive machine 1 | | Queue Size: 2 | | Logical Clock: 23
System Time: 2025-03-05 04:13:20 | | RECEIVE  | | Receive machine 0 | | Queue Size: 1 | | Logical Clock: 24
System Time: 2025-03-05 04:13:21 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 25
System Time: 2025-03-05 04:13:22 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 25
System Time: 2025-03-05 04:13:23 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 26
System Time: 2025-03-05 04:13:24 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 27
System Time: 2025-03-05 04:13:25 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 28
System Time: 2025-03-05 04:13:26 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 30
System Time: 2025-03-05 04:13:27 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 31
System Time: 2025-03-05 04:13:28 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 32
System Time: 2025-03-05 04:13:29 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 32
System Time: 2025-03-05 04:13:30 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 33
System Time: 2025-03-05 04:13:31 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 34
