System Time: 2025-03-05 15:38:38 | | INITIAL | | Machine 2 initialized with clock speed 4 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 15:38:38 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 15:38:38 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 1
System Time: 2025-03-05 15:38:38 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 2
System Time: 2025-03-05 15:38:38 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 3
System Time: 2025-03-05 15:38:39 | | RECEIVE  | | Receive machine 1 | | Queue Size: 1 | | Logical Clock: 6
System Time: 2025-03-05 15:38:39 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 8
System Time: 2025-03-05 15:38:39 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 8
System Time: 2025-03-05 15:38:39 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 9
System Time: 2025-03-05 15:38:40 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 10
System Time: 2025-03-05 15:38:40 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 11
System Time: 2025-03-05 15:38:40 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 12
System Time: 2025-03-05 15:38:40 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 13
System Time: 2025-03-05 15:38:41 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 14
System Time: 2025-03-05 15:38:41 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 15
System Time: 2025-03-05 15:38:41 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 16
System Time: 2025-03-05 15:38:41 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 17
System Time: 2025-03-05 15:38:42 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 18
System Time: 2025-03-05 15:38:42 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 18
System Time: 2025-03-05 15:38:42 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 19
System Time: 2025-03-05 15:38:42 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 20
System Time: 2025-03-05 15:38:42 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 21
System Time: 2025-03-05 15:38:43 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 22
System Time: 2025-03-05 15:38:43 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 23
System Time: 2025-03-05 15:38:43 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 24
System Time: 2025-03-05 15:38:43 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 25
System Time: 2025-03-05 15:38:44 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 27
System Time: 2025-03-05 15:38:44 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 27
System Time: 2025-03-05 15:38:44 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 27
System Time: 2025-03-05 15:38:44 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 28
System Time: 2025-03-05 15:38:44 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 29
System Time: 2025-03-05 15:38:45 | | RECEIVE  | | Receive machine 1 | | Queue Size: 1 | | Logical Clock: 31
System Time: 2025-03-05 15:38:45 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 32
System Time: 2025-03-05 15:38:45 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 32
System Time: 2025-03-05 15:38:45 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 33
System Time: 2025-03-05 15:38:46 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 35
System Time: 2025-03-05 15:38:46 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 35
System Time: 2025-03-05 15:38:46 | |   SEND   | | Sent to machine 0 | | Queue Size: 1 | | Logical Clock: 36
System Time: 2025-03-05 15:38:46 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 38
System Time: 2025-03-05 15:38:47 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 39
System Time: 2025-03-05 15:38:47 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 39
System Time: 2025-03-05 15:38:47 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 40
System Time: 2025-03-05 15:38:47 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 41
System Time: 2025-03-05 15:38:48 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 43
System Time: 2025-03-05 15:38:48 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 43
System Time: 2025-03-05 15:38:48 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 44
System Time: 2025-03-05 15:38:48 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 45
System Time: 2025-03-05 15:38:49 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 46
